Dimension,SubDimension,Aspect,Skill,Weight
Languages,UI Markup,UI Markup,JSP,1
Languages,UI Markup,UI Markup,Markdown,1
Languages,UI Markup,UI Markup,HTML,2
Languages,UI Markup,UI Markup,SVG,1
Languages,UI Markup,UI Markup,VRML,1

Languages,Data Markup,Data Markup,XML,2
Languages,Data Markup,Data Markup,JSON,2

Languages,Style Sheet,Style Sheet,XSL,1
Languages,Style Sheet,Style Sheet,CSS,2
Languages,Style Sheet,Style Sheet,XSL-FO,1

Languages,Data Languages,Data Languages,SQL,2
Languages,Data Languages,Data Languages,OQL,1
Languages,Data Languages,Data Languages,PL SQL,1
Languages,Data Languages,Data Languages,CQL,1

Languages,Compile APL,Compile APL,Java,2
Languages,Compile APL,Compile APL,C,1
Languages,Compile APL,Compile APL,C++,1
Languages,Compile APL,Compile APL,C#,1
Languages,Compile APL,Compile APL,Visual Basic,1
Languages,Compile APL,Compile APL,Scala,1

Languages,Scripted APL,Scripted APL,JavaScript,2
Languages,Scripted APL,Scripted APL,CoffeeScript,1
Languages,Scripted APL,Scripted APL,PHP,1
Languages,Scripted APL,Scripted APL,PERL,1
Languages,Scripted APL,Scripted APL,Python,1
Languages,Scripted APL,Scripted APL,Ruby,1

Languages,Shell Scripts,Shell Scripts,Sh,2
Languages,Shell Scripts,Shell Scripts,Sed,1
Languages,Shell Scripts,Shell Scripts,PowerShell,1
Languages,Shell Scripts,Shell Scripts,Bash,2


Infrastructure Platforms, SaaS, SalesForce, SalesForce CRM, 1
Infrastructure Platforms, SaaS, SalesForce, Force.com, 1
Infrastructure Platforms, PaaS, AWS, AWS Cloud, 1
Infrastructure Platforms, PaaS, Azure, Azure Cloud, 1
Infrastructure Platforms, PaaS, Cloud Foundary, Cloud Foundary Cloud, 1
Infrastructure Platforms, PaaS, PCF, PCF Cloud, 1
Infrastructure Platforms, PaaS, Open Shift, Open Shift Cloud, 1
Infrastructure Platforms, IaaS, AWS, EC2, 1
Infrastructure Platforms, IaaS, AWS, ECS, 1


SDLC Methodologies, Waterfall, Requirement Analysis, System decomposition using DFD (Data Flow Diagrams),1
SDLC Methodologies, Waterfall, Requirement Analysis, Object oriented analysis,2
SDLC Methodologies, Waterfall, Requirement Analysis, Domain Objet Model,1
SDLC Methodologies, Waterfall, Requirement Analysis, Change request,2
SDLC Methodologies, Waterfall, Requirement Analysis, RTM(requirement tracebility matrix),2

SDLC Methodologies, Waterfall, Planning, Estimation methods - FP - UCP - CP or WBS,2
SDLC Methodologies, Waterfall, Planning, Estimation using COCOMO model,1

SDLC Methodologies, Waterfall, Design, Functional-oriented system design,1
SDLC Methodologies, Waterfall, Design, Domain driven design,1
SDLC Methodologies, Waterfall, Design, Object-oriented system design,2
SDLC Methodologies, Waterfall, Design, Detailed design specification,1

SDLC Methodologies, Waterfall, Coding, Ability to covert system design into code,2
SDLC Methodologies, Waterfall, Coding, knowledge about unit testing,2
SDLC Methodologies, Waterfall, Coding, Coding best practices (cohesion coupling etc),2

SDLC Methodologies, Waterfall, Testing, Deriving test cases from the requirements,2
SDLC Methodologies, Waterfall, Testing, Importance of test coverage (boundary - negative - positive),2

SDLC Methodologies, Waterfall, Installation / Release, Change management,2
SDLC Methodologies, Waterfall, Installation / Release, Backout process,1
SDLC Methodologies, Waterfall, Installation / Release, Disaster recovery,1

SDLC Methodologies, Agile, Requirement Analysis, System decomposition into epics - features and user stories,1
SDLC Methodologies, Agile, Requirement Analysis, Object oriented analysis,2
SDLC Methodologies, Agile, Requirement Analysis, Domain object model,1
SDLC Methodologies, Agile, Requirement Analysis, Change request,2
SDLC Methodologies, Agile, Requirement Analysis, RTM(requirement tracebility matrix),2

SDLC Methodologies, Agile, Planning, Story point estimation,2
SDLC Methodologies, Agile, Planning, Done criteria,2
SDLC Methodologies, Agile, Planning, Release and spring planning,1
SDLC Methodologies, Agile, Planning, Backlock grooming,1

SDLC Methodologies, Agile, Coding, Test driven development (TDD),2
SDLC Methodologies, Agile, Coding, ATDD,1
SDLC Methodologies, Agile, Coding, Coding best practices(cohesion - coupling etc),1
SDLC Methodologies, Agile, Coding, Pair programming,1
SDLC Methodologies, Agile, Coding, Technical debt,2

SDLC Methodologies, Agile, Testing, Deriving test cases from the requirements,2
SDLC Methodologies, Agile, Testing, Importance of test coverage (boundary - negative - positive),2

SDLC Methodologies, Agile, Release/Iteration, sprint demo,2
SDLC Methodologies, Agile, Release/Iteration, spring retrospection,2
SDLC Methodologies, Agile, Release/Iteration, backout process,1
SDLC Methodologies, Agile, Release/Iteration, disaster recovery,1

SDLC Methodologies, RUP (Rational Unified Process), Inception, Vision,1
SDLC Methodologies, RUP (Rational Unified Process), Inception, Busienss case,2
SDLC Methodologies, RUP (Rational Unified Process), Inception, Change request,1
SDLC Methodologies, RUP (Rational Unified Process), Inception, RTM(requirement tracebility matrix),2
SDLC Methodologies, RUP (Rational Unified Process), Inception, Usecase based estimation,2

SDLC Methodologies, RUP (Rational Unified Process), Elaboration, Usecase model from Analysis & Design ,2
SDLC Methodologies, RUP (Rational Unified Process), Elaboration, Supplementary / non-functional requirements,1
SDLC Methodologies, RUP (Rational Unified Process), Elaboration, Software architecture description,1

SDLC Methodologies, RUP (Rational Unified Process), Construction, Ability to covert usecase model into code,2
SDLC Methodologies, RUP (Rational Unified Process), Construction, knowledge about unit testing,1
SDLC Methodologies, RUP (Rational Unified Process), Construction, Coding best practices (cohesion - coupling etc),2
SDLC Methodologies, RUP (Rational Unified Process), Construction, Deriving test cases from the usecases ,2
SDLC Methodologies, RUP (Rational Unified Process), Construction, Importance of test coverage (boundary - negative - positive),2

SDLC Methodologies, RUP (Rational Unified Process), Transition, User manual,2
SDLC Methodologies, RUP (Rational Unified Process), Transition, Change management,2
SDLC Methodologies, RUP (Rational Unified Process), Transition, Backout process,1
SDLC Methodologies, RUP (Rational Unified Process), Transition, Disaster recovery,1


Software Platforms, JEE, Platform Concepts, Background, 1
Software Platforms, JEE, Platform Concepts, Platform architecture, 1
