Date,Open,High,Low,Close,Adj Close*,Volume
"May 03, 2017",69.38,69.38,68.71,69.08,69.08,"28,751,500"
"May 02, 2017",69.71,69.71,69.13,69.30,69.30,"23,906,100"
"May 01, 2017",68.68,69.55,68.50,69.41,69.41,"31,954,400"
"Apr 28, 2017",68.91,69.14,67.69,68.46,68.46,"39,548,800"
"Apr 27, 2017",68.15,68.38,67.58,68.27,68.27,"34,971,000"
"Apr 26, 2017",68.08,68.31,67.62,67.83,67.83,"26,190,800"
"Apr 25, 2017",67.90,68.04,67.60,67.92,67.92,"30,242,700"
"Apr 24, 2017",67.48,67.66,67.10,67.53,67.53,"29,770,000"
"Apr 21, 2017",65.67,66.70,65.45,66.40,66.40,"32,522,600"
"Apr 20, 2017",65.46,65.75,65.14,65.50,65.50,"22,299,500"
"Apr 19, 2017",65.65,65.75,64.89,65.04,65.04,"26,992,800"
"Apr 18, 2017",65.33,65.71,65.16,65.39,65.39,"15,155,600"
"Apr 17, 2017",65.04,65.49,65.01,65.48,65.48,"16,689,300"
"Apr 13, 2017",65.29,65.86,64.95,64.95,64.95,"17,896,500"
"Apr 12, 2017",65.42,65.51,65.11,65.23,65.23,"17,108,500"
"Apr 11, 2017",65.60,65.61,64.85,65.48,65.48,"18,791,500"
"Apr 10, 2017",65.61,65.82,65.36,65.53,65.53,"17,952,700"
"Apr 07, 2017",65.85,65.96,65.44,65.68,65.68,"14,108,500"
"Apr 06, 2017",65.60,66.06,65.48,65.73,65.73,"18,103,500"
"Apr 05, 2017",66.30,66.35,65.44,65.56,65.56,"21,448,600"
"Apr 04, 2017",65.39,65.81,65.28,65.73,65.73,"12,997,400"
"Apr 03, 2017",65.81,65.94,65.19,65.55,65.55,"20,400,900"
"Mar 31, 2017",65.65,66.19,65.45,65.86,65.86,"21,040,300"
"Mar 30, 2017",65.42,65.98,65.36,65.71,65.71,"15,122,800"
"Mar 29, 2017",65.12,65.50,64.95,65.47,65.47,"13,618,400"
"Mar 28, 2017",64.96,65.47,64.65,65.29,65.29,"20,080,400"
"Mar 27, 2017",64.63,65.22,64.35,65.10,65.10,"18,614,700"
"Mar 24, 2017",65.36,65.45,64.76,64.98,64.98,"22,617,100"
"Mar 23, 2017",64.94,65.24,64.77,64.87,64.87,"19,269,200"
"Mar 22, 2017",64.12,65.14,64.12,65.03,65.03,"20,680,000"
"Mar 21, 2017",65.19,65.50,64.13,64.21,64.21,"26,640,500"
"Mar 20, 2017",64.91,65.18,64.72,64.93,64.93,"14,598,100"
"Mar 17, 2017",64.91,65.24,64.68,64.87,64.87,"49,219,700"
"Mar 16, 2017",64.75,64.76,64.30,64.64,64.64,"20,674,300"
"Mar 15, 2017",64.55,64.92,64.25,64.75,64.75,"24,833,800"
"Mar 14, 2017",64.53,64.55,64.15,64.41,64.41,"14,280,200"
"Mar 13, 2017",65.01,65.19,64.57,64.71,64.71,"20,100,000"
"Mar 10, 2017",65.11,65.26,64.75,64.93,64.93,"19,538,200"
"Mar 09, 2017",65.19,65.20,64.48,64.73,64.73,"19,846,800"
"Mar 08, 2017",64.26,65.08,64.25,64.99,64.99,"21,510,900"
"Mar 07, 2017",64.19,64.78,64.19,64.40,64.40,"18,521,000"
"Mar 06, 2017",63.97,64.56,63.81,64.27,64.27,"18,750,300"
"Mar 03, 2017",63.99,64.28,63.62,64.25,64.25,"18,135,900"
"Mar 02, 2017",64.69,64.75,63.88,64.01,64.01,"24,539,600"
"Mar 01, 2017",64.13,64.99,64.02,64.94,64.94,"26,937,500"
"Feb 28, 2017",64.08,64.20,63.76,63.98,63.98,"23,239,800"
"Feb 27, 2017",64.54,64.54,64.05,64.23,64.23,"15,871,500"
"Feb 24, 2017",64.53,64.80,64.14,64.62,64.62,"21,796,800"
"Feb 23, 2017",64.42,64.73,64.19,64.62,64.62,"20,273,100"
"Feb 22, 2017",64.33,64.39,64.05,64.36,64.36,"19,292,700"
"Feb 21, 2017",64.61,64.95,64.45,64.49,64.49,"20,655,900"
"Feb 17, 2017",64.47,64.69,64.30,64.62,64.62,"21,248,800"
"Feb 16, 2017",64.74,65.24,64.44,64.52,64.52,"20,546,300"
"Feb 15, 2017",64.50,64.57,64.16,64.53,64.53,"17,005,200"
"Feb 14, 2017",64.41,64.72,64.02,64.57,64.57,"23,108,400"
"Feb 14, 2017",0.39 Dividend,0.39 Dividend,0.39 Dividend,0.39 Dividend,0.39 Dividend,0.39 Dividend
"Feb 13, 2017",64.24,64.86,64.13,64.72,64.72,"22,920,100"
"Feb 10, 2017",64.25,64.30,63.98,64.00,64.00,"18,170,700"
"Feb 09, 2017",63.52,64.44,63.32,64.06,64.06,"22,644,400"
"Feb 08, 2017",63.57,63.81,63.22,63.34,63.34,"18,096,400"
"Feb 07, 2017",63.74,63.78,63.23,63.43,63.43,"20,277,200"
"Feb 06, 2017",63.50,63.65,63.14,63.64,63.64,"19,796,400"
"Feb 03, 2017",63.50,63.70,63.07,63.68,63.68,"30,301,800"
"Feb 02, 2017",63.25,63.41,62.75,63.17,63.17,"45,827,000"
"Feb 01, 2017",64.36,64.62,63.47,63.58,63.58,"39,671,500"
"Jan 31, 2017",64.86,65.15,64.26,64.65,64.65,"25,270,500"
"Jan 30, 2017",65.69,65.79,64.80,65.13,65.13,"31,651,400"
"Jan 27, 2017",65.39,65.91,64.89,65.78,65.78,"44,818,000"
"Jan 26, 2017",64.12,64.54,63.55,64.27,64.27,"43,554,600"
"Jan 25, 2017",63.95,64.10,63.45,63.68,63.68,"23,672,700"
"Jan 24, 2017",63.20,63.74,62.94,63.52,63.52,"24,672,900"
"Jan 23, 2017",62.70,63.12,62.57,62.96,62.96,"23,097,600"
"Jan 20, 2017",62.67,62.82,62.37,62.74,62.74,"30,213,500"
"Jan 19, 2017",62.24,62.98,62.20,62.30,62.30,"18,451,700"
"Jan 18, 2017",62.67,62.70,62.12,62.50,62.50,"19,670,100"
"Jan 17, 2017",62.68,62.70,62.03,62.53,62.53,"20,664,000"
"Jan 13, 2017",62.62,62.87,62.35,62.70,62.70,"19,422,300"
"Jan 12, 2017",63.06,63.40,61.95,62.61,62.61,"20,968,200"
"Jan 11, 2017",62.61,63.23,62.43,63.19,63.19,"21,517,300"
"Jan 10, 2017",62.73,63.07,62.28,62.62,62.62,"18,593,000"
"Jan 09, 2017",62.76,63.08,62.54,62.64,62.64,"20,256,600"
"Jan 06, 2017",62.30,63.15,62.04,62.84,62.84,"19,922,900"
"Jan 05, 2017",62.19,62.66,62.03,62.30,62.30,"24,876,000"
"Jan 04, 2017",62.48,62.75,62.12,62.30,62.30,"21,340,000"
"Jan 03, 2017",62.79,62.84,62.13,62.58,62.58,"20,694,100"
"Dec 30, 2016",62.96,62.99,62.03,62.14,62.14,"25,579,900"
"Dec 29, 2016",62.86,63.20,62.73,62.90,62.90,"10,250,600"
"Dec 28, 2016",63.40,63.40,62.83,62.99,62.99,"14,653,300"
"Dec 27, 2016",63.21,64.07,63.21,63.28,63.28,"11,763,200"
"Dec 23, 2016",63.45,63.54,62.80,63.24,63.24,"12,403,800"
"Dec 22, 2016",63.84,64.10,63.41,63.55,63.55,"22,176,600"
